	t	protein
0	10	55.1772661023449
1	20	271.023184124983
2	30	746.051508040158
3	40	1572.14265145439
4	50	2834.8727401394
5	60	4613.8282187214
6	70	6982.90660505027
7	80	10010.6039623806
8	90	13760.2896370025
9	100	18290.4687873277
10	110	23655.0332096352
11	120	29903.500945675
12	130	37081.2451380912
13	140	45229.712581116
14	150	54386.6323961685
15	160	64586.215244821
16	170	75859.3434750219
17	180	88233.7525804555
18	190	101734.204337441
19	200	116382.651968822
20	210	132198.397669855
21	220	149198.242817235
22	230	167396.631169022
23	240	186805.785350485
24	250	207435.836908668
25	260	229294.950206861
26	270	252389.440419117
27	280	276723.885874434
28	290	302301.234990248
29	300	329122.908025405
30	310	357188.893873734
31	320	386497.84211074
32	330	417047.150497731
33	340	448833.048139815
34	350	481850.674486674
35	360	516094.154357768
36	370	551556.669166679
37	380	588230.524512554
38	390	626107.214300151
39	400	665177.4815437
40	410	705431.376003765
41	420	746858.308800388
42	430	789447.104140153
43	440	833186.04828931
44	450	878062.935919735
45	460	924065.113949434
46	470	971179.522994228
47	480	1019392.73654248
48	490	1068690.9979601
49	500	1119060.2554284
50	510	1170486.19491334
51	520	1222954.27126008
52	530	1276449.73750306
53	540	1330957.67247781
54	550	1386463.00681679
55	560	1442950.54740826
56	570	1500405.00039321
57	580	1558810.9927727
58	590	1618153.09269398
59	600	1678415.82848127
60	610	1739583.70647389
61	620	1801641.22773143
62	630	1864572.90366321
63	640	1928363.27063642
64	650	1992996.90361497
65	660	2058458.42887858
66	670	2124732.53586943
67	680	2191803.98821135
68	690	2259657.63394457
69	700	2328278.41501695
70	710	2397651.37607067
71	720	2467761.67256163
72	730	2538594.57824678
73	740	2610135.49207331
74	750	2682369.94450171
75	760	2755283.6032932
76	770	2828862.2787908
77	780	2903091.92872156
78	790	2977958.66254648
79	800	3053448.74538313
80	810	3129548.6015248
81	820	3206244.817579
82	830	3283524.14524685
83	840	3361373.50376387
84	850	3439779.9820218
85	860	3518730.84038995
86	870	3598213.51225375
87	880	3678215.60528735
88	890	3758724.90247606
89	900	3839729.36290403
90	910	3921217.12232135
91	920	4003176.4935043
92	930	4085595.96642184
93	940	4168464.20822058
94	950	4251770.06303989
95	960	4335502.55166845
96	970	4419650.8710525
97	980	4504204.39366616
98	990	4589152.6667529
99	1000	4674485.41144754
100	1010	4760192.52178703
101	1020	4846264.06361825
102	1030	4932690.27341049
103	1040	5019461.5569797
104	1050	5106568.48813169
105	1060	5194001.80723051
106	1070	5281752.41969829
107	1080	5369811.3944524
108	1090	5458169.96228536
109	1100	5546819.51419282
110	1110	5635751.59965439
111	1120	5724957.92487219
112	1130	5814430.35097125
113	1140	5904160.89216617
114	1150	5994141.71389781
115	1160	6084365.13094366
116	1170	6174823.60550559
117	1180	6265509.745278
118	1190	6356416.30149961
119	1200	6447536.16699178
120	1210	6538862.37418604
121	1220	6630388.09314353
122	1230	6722106.62956848
123	1240	6814011.42281837
124	1250	6906096.0439126
125	1260	6998354.19354175
126	1270	7090779.70007932
127	1280	7183366.51759769
128	1290	7276108.72388983
129	1300	7369000.5184984
130	1310	7462036.22075357
131	1320	7555210.26782086
132	1330	7648517.21276033
133	1340	7741951.72259808
134	1350	7835508.57641129
135	1360	7929182.66342761
136	1370	8022968.98113989
137	1380	8116862.63343702
138	1390	8210858.8287517
139	1400	8304952.8782257
140	1410	8399140.19389345
141	1420	8493416.28688424
142	1430	8587776.76564383
143	1440	8682217.33417578
144	1450	8776733.79030301
145	1460	8871322.02394975
146	1470	8965978.01544454
147	1480	9060697.83384433
148	1490	9155477.63527992
149	1500	9250313.6613232
150	1510	9345202.23737599
151	1520	9440139.77108101
152	1530	9535122.75075488
153	1540	9630147.74384316
154	1550	9725211.39539782
155	1560	9820310.42657682
156	1570	9915441.63316599
157	1580	10010601.8841233
158	1590	10105788.1201451
159	1600	10200997.3522551
160	1610	10296226.6604146
161	1620	10391473.1921557
162	1630	10486734.1612359
163	1640	10582006.8463145
164	1650	10677288.5896512
165	1660	10772576.7958258
166	1670	10867868.9304794
167	1680	10963162.5190768
168	1690	11058455.1456908
169	1700	11153744.4518057
170	1710	11249028.1351434
171	1720	11344303.9485089
172	1730	11439569.6986561
173	1740	11534823.2451744
174	1750	11630062.4993947
175	1760	11725285.4233149
176	1770	11820490.0285455
177	1780	11915674.3752739
178	1790	12010836.5712474
179	1800	12105974.7707763
180	1810	12201087.1737537
181	1820	12296172.0246947
182	1830	12391227.6117938
183	1840	12486252.2659989
184	1850	12581244.3601043
185	1860	12676202.3078598
186	1870	12771124.5630977
187	1880	12866009.6188757
188	1890	12960856.0066373
189	1900	13055662.2953879
190	1910	13150427.0908868
191	1920	13245149.0348556
192	1930	13339826.8042017
193	1940	13434459.1102572
194	1950	13529044.6980329
195	1960	13623582.3454868
196	1970	13718070.8628079
197	1980	13812509.0917137
198	1990	13906895.9047616
199	2000	14001230.204675
200	2010	14095510.9236822
201	2020	14189737.0228691
202	2030	14283907.491545
203	2040	14378021.3466211
204	2050	14472077.6320018
205	2060	14566075.4179889
206	2070	14660013.8006971
207	2080	14753891.9014826
208	2090	14847708.8663825
209	2100	14941463.8655666
210	2110	15035156.0928
211	2120	15128784.7649173
212	2130	15222349.1213077
213	2140	15315848.4234101
214	2150	15409281.9542202
215	2160	15502649.0178063
216	2170	15595948.9388369
217	2180	15689181.0621168
218	2190	15782344.752134
219	2200	15875439.3926154
220	2210	15968464.386093
221	2220	16061419.1534779
222	2230	16154303.1336445
223	2240	16247115.7830229
224	2250	16339856.5752004
225	2260	16432525.0005311
226	2270	16525120.5657545
227	2280	16617642.7936211
228	2290	16710091.2225277
229	2300	16802465.4061588
230	2310	16894764.9131371
231	2320	16986989.3266807
232	2330	17079138.2442681
233	2340	17171211.2773102
234	2350	17263208.0508295
235	2360	17355128.2031465
236	2370	17446971.3855723
237	2380	17538737.2621084
238	2390	17630425.5091532
239	2400	17722035.8152138
240	2410	17813567.8806257
241	2420	17905021.4172771
242	2430	17996396.1483401
243	2440	18087691.8080079
244	2450	18178908.1412368
245	2460	18270044.9034948
246	2470	18361101.8605155
247	2480	18452078.7880569
248	2490	18542975.4716664
249	2500	18633791.7064499
250	2510	18724527.2968469
251	2520	18815182.0564103
252	2530	18905755.8075904
253	2540	18996248.3815248
254	2550	19086659.617832
255	2560	19176989.3644102
256	2570	19267237.4772401
257	2580	19357403.8201922
258	2590	19447488.2648384
259	2600	19537490.690268
260	2610	19627410.9829076
261	2620	19717249.0363444
262	2630	19807004.7511549
263	2640	19896678.0347357
264	2650	19986268.8011394
265	2660	20075776.9709135
266	2670	20165202.4709427
267	2680	20254545.2342956
268	2690	20343805.2000738
269	2700	20432982.313265
270	2710	20522076.5245994
271	2720	20611087.7904086
272	2730	20700016.0724887
273	2740	20788861.3379658
274	2750	20877623.5591645
275	2760	20966302.7134795
276	2770	21054898.7832502
277	2780	21143411.755638
278	2790	21231841.6225062
279	2800	21320188.3803027
280	2810	21408452.0299458
