t	protein
100	4530.17915032521
200	19178.6267817057
300	46000.2998168632
400	85070.5670604124
500	135439.824528717
600	195702.560316007
700	264323.341388385
800	339813.424225035
900	420817.88465301
1000	506150.629347648
1100	594800.181255104
1200	685920.046747268
1300	778811.841355842
1400	872905.890829848
1500	967741.916873118
1600	1062951.14898309
1700	1158240.455098
1800	1253378.6546269
1900	1348184.94337745
2000	1442519.24329083
2100	1536274.24247489
2200	1629368.88295634
2300	1721743.06658745
2400	1813353.3726481
2500	1904169.60743161
2600	1994172.03286124
2700	2083349.14605248
2800	2171695.90384906
2900	2259212.3054607
3000	2345902.26249295
3100	2431772.699135
3200	2516832.83637929
3300	2601093.62322507
3400	2684567.28518671
3500	2767266.96637767
3600	2849206.44622525
3700	2930399.91570516
3800	3010861.80105052
3900	3090606.62533528
4000	3169648.90028117
4100	3248003.04218828
4200	3325683.307124
4300	3402703.74148691
4400	3479078.14484325
4500	3554820.04255549
4600	3629942.66621761
4700	3704458.9403063
4800	3778381.47377213
4900	3851722.5555464
5000	3924494.15314015
5100	3996707.91367331
5200	4068375.16680074
5300	4139506.92910624
5400	4210113.90961838
5500	4280206.51617001
5600	4349794.86237714
5700	4418888.77505689
5800	4487497.80193981
5900	4555631.21956062
6000	4623298.04123456
6100	4690507.02504611
6200	4757266.68179123
6300	4823585.28282822
6400	4889470.86780104
6500	4954931.25220824
6600	5019974.03479708
6700	5084606.60476776
6800	5148836.14877741
6900	5212669.65773672
7000	5276113.93339557
7100	5339175.59471557
7200	5401861.08403009
7300	5464176.67299324
7400	5526128.46832077
7500	5587722.41732664
7600	5648964.31325976
7700	5709859.80044578
7800	5770414.3792395
7900	5830633.41079346
8000	5890522.12164833
8100	5950085.60815146
8200	6009328.8407091
8300	6068256.66787835
8400	6126873.82030494
8500	6185184.91451216
8600	6243194.45654714
8700	6300906.84548945
8800	6358326.37682799
8900	6415457.24571085
9000	6472303.5500736
9100	6528869.29365072
9200	6585158.3888749
9300	6641174.65966891
9400	6696921.84413419
9500	6752403.59714051
9600	6807623.49282085
9700	6862585.02697516
9800	6917291.61938681
9900	6971746.61605549
10000	7025953.29134968
10100	7079914.85008218
10200	7133634.42951171
10300	7187115.10127377
10400	7240359.87324343
10500	7293371.69133286
10600	7346153.44122636
10700	7398707.9500553
10800	7451037.98801529
10900	7503146.26992811
11000	7555035.45675035
11100	7606708.15703115
11200	7658166.92832076
11300	7709414.27853207
11400	7760452.66725687
11500	7811284.50703858
11600	7861912.16460309
11700	7912337.96204962
11800	7962564.17800266
11900	8012593.04872692
12000	8062426.76920642
12100	8112067.4941892
12200	8161517.33919892
12300	8210778.38151455
12400	8259852.66111945
12500	8308742.18162082
12600	8357448.9111407
12700	8405974.78317968
12800	8454321.69745405
12900	8502491.52070753
13000	8550486.08749859
13100	8598307.20096389
13200	8645956.63355921
13300	8693436.12777811
13400	8740747.39684959
13500	8787892.12541513
13600	8834871.97018605
13700	8881688.56058186
13800	8928343.49935002
13900	8974838.36316819
14000	9021174.70322912
14100	9067354.04580904
14200	9113377.89282002
14300	9159247.72234693
14400	9204964.98916923
14500	9250531.12526864
14600	9295947.5403226
14700	9341215.62218413
14800	9386336.73734892
14900	9431312.23140954
15000	9476143.42949753
15100	9520831.63671359
15200	9565378.13854627
15300	9609784.2012798
15400	9654051.07239088
15500	9698179.98093524
15600	9742172.13792416
15700	9786028.73669113
15800	9829750.95324912
15900	9873339.94663862
16000	9916796.85926701
16100	9960122.81723906
16200	10003318.9306792
16300	10046386.2940458
16400	10089325.9864376
16500	10132139.0718921
16600	10174826.5996773
16700	10217389.6045759
16800	10259829.1071622
16900	10302146.114073
17000	10344341.6182715
17100	10386416.5993047
17200	10428372.023555
17300	10470208.8444859
17400	10511928.002881
17500	10553530.4270788
17600	10595017.0332005
17700	10636388.7253737
17800	10677646.3959498
17900	10718790.9257175
18000	10759823.1841105
18100	10800744.029411
18200	10841554.308948
18300	10882254.8592918
18400	10922846.5064436
18500	10963330.0660209
18600	11003706.3434391
18700	11043976.1340884
18800	11084140.2235079
18900	11124199.3875544
19000	11164154.3925687
19100	11204005.9955377
19200	11243754.9442532
19300	11283401.9774671
19400	11322947.8250434
19500	11362393.2081069
19600	11401738.8391885
19700	11440985.4223678
19800	11480133.6534128
19900	11519184.2199158
20000	11558137.8014276
20100	11596995.0695877
20200	11635756.6882532
20300	11674423.3136235
20400	11712995.5943638
20500	11751474.1717255
20600	11789859.6796634
20700	11828152.7449522
20800	11866353.9872989
20900	11904464.0194543
21000	11942483.4473215
21100	11980412.8700624
21200	12018252.8802021
21300	12056004.0637312
21400	12093667.0002065
